[Wed Mar 06 19:34:41.350112 2024] [php:notice] [pid 24] [client 172.21.0.1:50924] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:34:41.361240 2024] [php:notice] [pid 24] [client 172.21.0.1:50924] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:35:16.821539 2024] [php:notice] [pid 21] [client 172.21.0.1:55300] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:35:16.861342 2024] [php:notice] [pid 19] [client 172.21.0.1:55312] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:35:17.635912 2024] [php:notice] [pid 19] [client 172.21.0.1:55312] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:35:17.649472 2024] [php:notice] [pid 19] [client 172.21.0.1:55312] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:35:20.730851 2024] [php:notice] [pid 19] [client 172.21.0.1:55312] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:35:58.273956 2024] [php:notice] [pid 18] [client 172.21.0.1:55416] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:35:58.480893 2024] [php:notice] [pid 18] [client 172.21.0.1:55416] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:36:00.745777 2024] [php:notice] [pid 18] [client 172.21.0.1:55416] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:36:00.792150 2024] [php:notice] [pid 22] [client 172.21.0.1:57990] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:36:01.684810 2024] [php:notice] [pid 22] [client 172.21.0.1:57990] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:36:01.696737 2024] [php:notice] [pid 22] [client 172.21.0.1:57990] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:36:02.988446 2024] [php:notice] [pid 22] [client 172.21.0.1:57990] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:36:57.345291 2024] [php:notice] [pid 23] [client 172.21.0.1:46660] Sou um log, referer: http://127.0.0.1:5501/
